iter	RMSE
0	73.0097573
1	70.01331833
2	67.10221096
3	63.70909536
4	60.76888116
5	58.29426644
6	56.26015371
7	54.07100236
8	52.26115697
9	50.85089959
10	49.16231849
11	47.53156979
12	45.87926473
13	44.47986503
14	43.22312799
15	42.00218335
16	41.06814899
17	39.87751269
18	38.96029338
19	38.13833006
20	37.31614027
21	36.52150484
22	35.90236812
23	35.50788839
24	34.87838363
25	34.34020352
26	33.95638758
27	33.55585918
28	33.09077369
29	32.81718524
30	32.38385965
31	32.0053511
32	31.38095081
33	30.9655633
34	30.41722853
35	29.94757852
36	29.58966875
37	29.23524275
38	29.00407938
39	28.61325767
40	28.48077877
41	28.1605571
42	27.92859289
43	27.69473681
44	27.6331226
45	27.52315964
46	27.11535825
47	26.93025954
48	26.66110182
49	26.37167858
50	26.17843665
51	25.85379004
52	25.65497629
53	25.37800755
54	25.21167416
55	25.02938628
56	24.85244987
57	24.63979678
58	24.43972516
59	24.21150416
60	24.13777835
61	23.8591275
62	23.70815606
63	23.49093663
64	23.24539101
65	23.07493566
66	22.89444371
67	22.76444744
68	22.51088378
69	22.37098933
70	22.15532804
71	21.89726017
72	21.85373406
73	21.63852711
74	21.4412144
75	21.26319004
76	21.03156289
77	20.89902281
78	20.77760722
79	20.66659679
80	20.50056913
81	20.29292957
82	20.09162791
83	20.01091927
84	19.88416134
85	19.78537675
86	19.6366536
87	19.44297581
88	19.30789327
89	19.10392053
90	18.95659603
91	18.80111589
92	18.66698907
93	18.52098159
94	18.37765799
95	18.19539243
96	18.09790576
97	17.94358034
98	17.78774749
99	17.61969211
100	17.50850037
101	17.38327758
102	17.25305252
103	17.09958836
104	16.9417552
105	16.80335376
106	16.7130071
107	16.56580134
108	16.4794611
109	16.32721819
110	16.25719834
111	16.11991156
112	15.98677582
113	15.91540599
114	15.86179719
115	15.74779716
116	15.63350374
117	15.55723032
118	15.44924331
119	15.31607909
120	15.20141656
121	15.09168068
122	14.94553919
123	14.89303305
124	14.81766513
125	14.69415502
126	14.64535587
127	14.542477
128	14.43322616
