iter	Passed	Remaining
0	3	3762
1	5	2798
2	8	2939
3	11	2799
4	12	2508
5	13	2283
6	14	2116
7	16	1984
8	17	1931
9	19	1884
10	20	1819
11	21	1755
12	22	1708
13	23	1675
14	24	1639
15	28	1782
16	33	1945
17	37	2024
18	41	2135
19	45	2210
20	49	2300
21	52	2351
22	56	2386
23	59	2399
24	61	2407
25	65	2435
26	68	2454
27	70	2464
28	73	2471
29	76	2486
30	79	2492
31	82	2509
32	86	2522
33	88	2526
34	113	3131
35	116	3110
36	117	3059
37	118	3010
38	120	2966
39	121	2917
40	122	2869
41	123	2824
42	124	2778
43	125	2737
44	127	2697
45	128	2660
46	129	2624
47	131	2601
48	132	2571
49	133	2544
50	135	2517
51	136	2489
52	137	2461
53	138	2434
54	140	2406
55	143	2415
56	147	2443
57	151	2461
58	155	2480
59	159	2493
60	162	2503
61	165	2508
62	168	2510
63	171	2507
64	174	2507
65	177	2509
66	180	2511
67	183	2510
68	185	2507
69	188	2505
70	191	2502
71	194	2503
72	197	2504
73	200	2502
74	202	2500
75	205	2499
76	208	2497
77	211	2494
78	213	2493
79	216	2491
80	219	2489
81	222	2487
82	225	2491
83	226	2475
84	228	2460
85	229	2443
86	230	2423
87	232	2405
88	233	2387
89	234	2369
90	235	2354
91	237	2340
92	238	2324
93	239	2310
94	240	2294
95	242	2278
96	243	2263
97	244	2248
98	245	2233
99	246	2218
100	247	2203
101	248	2189
102	249	2177
103	251	2163
104	252	2150
105	253	2137
106	257	2150
107	261	2159
108	265	2170
109	269	2181
110	273	2187
111	276	2190
112	279	2190
113	281	2190
114	284	2189
115	287	2190
116	290	2190
117	293	2190
118	295	2189
119	298	2189
120	301	2189
121	304	2189
122	307	2190
123	309	2189
124	312	2189
125	315	2188
126	318	2187
127	320	2186
128	324	2188
129	326	2187
130	329	2186
131	332	2184
132	335	2184
133	337	2183
134	341	2185
135	342	2177
136	344	2168
137	345	2159
138	347	2149
139	348	2140
140	349	2131
141	351	2122
142	352	2114
143	354	2104
144	355	2095
145	356	2084
146	357	2075
147	359	2066
148	360	2057
149	361	2049
150	363	2042
151	364	2035
152	366	2027
153	367	2019
154	368	2011
155	371	2008
156	375	2017
157	379	2024
158	383	2030
159	387	2036
160	390	2037
161	393	2036
162	396	2036
163	399	2035
164	403	2040
165	406	2040
166	408	2039
167	411	2038
168	414	2037
169	417	2038
170	420	2037
171	423	2037
172	425	2036
173	428	2035
174	432	2039
175	435	2041
176	440	2047
177	443	2046
178	453	2079
179	457	2083
180	459	2078
181	465	2093
182	467	2089
183	469	2084
184	471	2077
185	473	2072
186	475	2067
187	477	2061
188	479	2056
189	481	2051
190	483	2046
191	485	2041
192	486	2035
193	488	2029
194	490	2024
195	492	2019
196	494	2014
197	495	2008
198	497	2003
199	499	1999
200	501	1993
201	503	1988
202	505	1983
203	507	1979
204	509	1975
205	511	1969
206	513	1965
207	515	1961
208	517	1957
209	518	1952
210	520	1947
211	522	1943
212	524	1939
213	526	1934
214	528	1929
215	530	1924
216	532	1921
217	534	1916
218	536	1911
219	537	1907
220	539	1902
221	541	1898
222	543	1895
223	546	1894
224	549	1894
225	552	1893
226	555	1892
227	558	1891
228	561	1890
229	563	1887
230	565	1881
231	566	1875
232	567	1869
233	569	1863
234	570	1857
235	571	1851
236	573	1845
237	574	1839
238	575	1833
239	577	1827
240	578	1822
241	580	1817
242	581	1811
243	582	1805
244	584	1802
245	586	1798
246	588	1792
247	589	1787
248	590	1781
249	592	1776
250	593	1771
251	594	1765
252	596	1760
253	598	1756
254	601	1757
255	602	1751
256	603	1745
257	605	1740
258	606	1735
259	607	1730
260	609	1725
261	611	1721
262	612	1717
263	614	1713
264	615	1708
265	617	1703
266	618	1698
267	619	1693
268	621	1688
269	622	1683
270	623	1678
271	625	1674
272	626	1669
273	628	1665
274	630	1661
275	631	1656
276	633	1652
277	634	1647
278	635	1643
279	637	1638
280	638	1634
281	640	1630
282	642	1627
283	643	1623
284	645	1618
285	646	1613
286	647	1609
287	649	1604
288	650	1600
289	651	1595
290	653	1591
291	654	1586
292	655	1582
293	657	1578
294	659	1575
295	660	1572
296	662	1568
297	664	1564
298	665	1560
299	667	1557
300	669	1553
301	670	1549
302	672	1546
303	673	1542
304	675	1538
305	676	1535
306	678	1531
307	680	1528
308	681	1524
309	683	1520
310	684	1517
311	686	1513
312	687	1509
313	689	1506
314	691	1502
315	692	1498
316	694	1495
317	695	1491
318	697	1488
319	698	1484
320	700	1480
321	701	1478
322	703	1474
323	704	1470
324	706	1467
325	707	1463
326	709	1460
327	711	1456
328	712	1453
329	714	1451
330	716	1448
331	718	1444
332	719	1441
333	720	1437
334	722	1433
335	723	1430
336	725	1427
337	727	1424
338	728	1420
339	729	1416
340	731	1413
341	732	1409
342	733	1405
343	735	1402
344	736	1399
345	738	1395
346	739	1391
347	741	1388
348	742	1384
349	743	1381
350	745	1377
351	746	1373
352	747	1370
353	748	1366
354	750	1363
355	751	1359
356	752	1356
357	754	1352
358	755	1349
359	756	1345
360	758	1341
361	759	1338
362	760	1335
363	762	1331
364	763	1328
365	764	1324
366	765	1321
367	767	1317
368	768	1314
369	769	1311
370	771	1308
371	772	1304
372	774	1302
373	776	1299
374	777	1296
375	779	1293
376	781	1290
377	782	1288
378	784	1285
379	785	1282
380	787	1279
381	788	1276
382	790	1273
383	791	1270
384	793	1267
385	795	1264
386	796	1261
387	797	1258
388	799	1255
389	801	1252
390	802	1250
391	804	1247
392	805	1244
393	806	1241
394	808	1238
395	809	1235
396	811	1232
397	812	1229
398	814	1226
399	815	1223
400	817	1220
401	818	1217
402	820	1215
403	821	1212
404	823	1209
405	824	1206
406	826	1203
407	827	1201
408	830	1199
409	831	1197
410	833	1194
411	835	1191
412	836	1188
413	838	1186
414	839	1183
415	841	1181
416	842	1178
417	844	1175
418	845	1172
419	847	1170
420	849	1167
421	854	1170
422	856	1168
423	858	1165
424	859	1163
425	861	1160
426	863	1158
427	865	1156
428	867	1154
429	869	1152
430	870	1149
431	872	1147
432	874	1145
433	876	1142
434	878	1140
435	880	1139
436	882	1137
437	884	1134
438	886	1132
439	887	1129
440	889	1127
441	891	1125
442	893	1122
443	894	1120
444	897	1118
445	898	1116
